key,0,1
102,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_002_002","Ich habe gehört, dass du die gute Seele warst, die all die magischen Gegenstände angefertigt hat<Indent/>- die sind echt gut angekommen, weißt du? Ich konnte meine gar nicht mehr weglegen, daher kann ich dir wahrlich nicht gut danken!"
103,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_002_003","Nun, ich sollte lieber gehen<Indent/>- ich muss noch einige Zauber üben und mir bleibt nicht viel Zeit dafür. Immerhin möchte ich durch meine Trödelei nicht hinter meinen Kommilitonen zurückfallen!"
104,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_004","Ah, einen Moment bitte, Mila!"
105,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_005","Du scheinst mir ein bisschen weniger lebhaft als sonst zu sein<Indent/>... Hast du etwas auf dem Herzen?"
106,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_002_006","W-Wirklich? Tatsächlich fühle ich mich besser denn je, dank der guten Behandlung, die alle mir zukommen lassen!"
107,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_007","... Bist du sicher? Deine hageren Bäckchen sprechen eine andere Sprache."
108,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_008","Wenn ich das richtig sehe, hast du die Mahlzeiten hier zu Hause mit einem gesunden Appetit genossen, aber ich weiß nicht, wie es sich anderswo verhält<Indent/>... Wie ist das Essen in der Magieakademie?"
109,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_002_009","Ä-Ähm ..."
110,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_010","Aha! Dachte ich es mir doch. Ob du es glaubst oder nicht, das Essen in der Cafeteria der Magieakademie war schon immer ein wenig<Indent/>... sagen wir mal, <Emphasis>exzentrisch</Emphasis><Indent/>- selbst zu meinen Studienzeiten. Und das will was heißen als Sharlayaner."
111,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_011","Verzeih mir, dass ich es nicht eher bemerkt habe, meine Liebe. Von jetzt an werde ich dir die Mittagessen zubereiten!"
112,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_002_012","W-Was?! Nein, ich könnte es nicht ertragen, Euch noch mehr zuzumuten, als ich das ohnehin schon tue!"
113,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_013","Ach bitte, du bist doch Familie? Zumuten? Unfug, nichts dergleichen."
114,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_014","Also dann! Ich würde liebend gerne lernen, wie man in Thavnair Essen zubereitet<Indent/>- könntest du es mir zeigen? Komm, gehen wir in die Lüche!"
115,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MERYLD_002_015","F-Frau Ameliance! Wir Diener servieren Euch liebend gerne, was immer ihr wollt, also überlasst das Kochen doch bitte uns!"
116,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_016","Danke, Meryld, aber das wird nicht nötig sein<Indent/>- ich habe <Emphasis>ein wenig</Emphasis> Erfahrung in der Küche. Zu unseren Schulzeiten habe ich oft Brotdosen für Fourchenault zubereitet<Indent/>- ansonsten wäre er durch seine Diät aus Exegetenbrot womöglich bereits an Unterernährung gestorben."
117,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_017","Nun, dann lass uns mal den Kochlöffel schwingen, oder, Mila?"
118,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_002_018","J-Ja!"
119,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MERYLD_002_019","A-Aber! Frau Ameliance, ich flehe euch an!"
120,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_003_000","Du kommst wie immer genau zur rechten Zeit, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Es gibt da eine Sache, die ich mit dir bereden möchte."
121,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_003_001","Es geht um Mila ... Ich fürchte, sie hat Schwie<SoftHyphen/>rig<SoftHyphen/>keiten, den richtigen Umgang mit Magie zu erlernen."
122,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_003_002","Magische Künste sind mitnichten etwas, das man sich innerhalb kürzester Zeit anzueignen vermag. Es ist auch kein Fachgebiet, dass man durch bloße Anstrengung erlernen kann<Indent/>- man muss eine Gabe dafür haben."
123,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_003_003","Zum Glück danke ich, dass Mila über dies Gabe verfügt. Sie scheint die Theorie hinter der Magie zu verstehen und besitzt einen starken Erfolgsdrang."
124,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_003_004","Letzteres ist es, was mir Sorgen bereitet<Indent/>... Sie kommt mit jedem Tag immer später nach Hause."
125,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_003_005","Allerdings gibt sie stets rechtzeitig Bescheid<Indent/>- sie ist so was von rücksichtsvoll für andere. Wenn sie doch nur ein wenig mehr ihr eigenes Wohlergehen im Blick hätte<Indent/>... Heute hat sie mir schon wieder mitgeteilt, dass sie bis spät in die Nacht auf dem Campus studieren würde."
126,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_003_006","Ich verstehe ja ihren Wunsch, sich zu beweisen, aber was wäre ich für eine Person<Indent/>- nein, Mutter<Indent/>-, wenn ich einfach mitansehen würde, wie sich bis zum Umfallen abrackert? Ich muss mit ihr von Angesicht zu Angesicht reden, ehe noch etwas Schlimmes passiert. "
127,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_003_007","Du hältst mich womöglich für überfürsorglich, aber ich betrachte das als meine Pflicht<Indent/>... als eine Mutter und als eine Freundin."
128,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_003_008","... Ähem, allerdings ist die Magieakademie ziemlich weitläufig, nicht wahr? Falls es dir nichts ausmacht, wäre ich dir ewig dankbar, wenn du mich begleiten würdest, während ich nach ihr suche."
129,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_003_009","Das ist überaus nett von dir! Gib mir einfach Bescheid, wenn du bereit bist, um loszugehen<Indent/>- ich kann hier jederzeit aufbrechen."
130,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_000","Frau Ameliance, Meryld und <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/> ... Ich habe zwar nur eine kurze Zeit hier in Sharlayan verbracht, doch ich bin froh, dass ich sie mit euch verbringen konnte. Ich finde keine Worte, um meine enorme Dankbarkeit angemessen zum Ausdruck zu bringen."
131,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_001","Es fühlt sich an, als hätte ich dich erst gestern in unserem Heim willkommen geheißen<Indent/>... Ich werde dich sehr vermissen, Mila, aber ich weiß auch aus Erfahrung, wie deine Eltern sich fühlen müssen."
132,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_002","Ich weiß, dass ich es oft gesagt habe, aber bitte gestattet es mir einmal mehr: Vielen Dank<Indent/>- von ganzem Herzen. Ohne eure Unterstützung hätten unzählige junge Leute niemals in der Ferne studieren können<Indent/>- und das schließt mich ein. Wir sind euch für alles, was ihr für uns getan habt, zutiefst zum Dank verschuldet."
133,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_003","Ich mag mir gar nicht vorstellen. wie meine Studien wohl ohne die verblüffenden Ressourcen verlaufen wären, die <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/> und alle im Hause Leveilleur bereitgestellt haben<Indent/>..."
134,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_004","Ich habe zwar nichts, um mich gebührend dafür zu bedanken, doch ich möchte euch etwas zeigen."
135,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_005","Los geht's ...!"
136,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_104_005","Nun fall hin, genau, wie ich es geübt habe!"
137,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_006","Das war erstaunlich! Du hattest die perfekte Kontrolle über sie!"
138,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_007","Oh, ich fange gerade erst an ..."
139,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_008","Mila ...! Wie<Indent/>... <Emphasis>Wann</Emphasis> hast du gelernt, Heilmagie zu wirken?"
140,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_009","Ah, aber das ist auch nicht so wichtig. Dies sind die Früchte deiner Arbeit<Indent/>- und ich könnte kaum stolzer auf dich sein, meine Liebe."
141,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_010","Hehe, ich danke Euch! Aber ich habe es nicht alleine so weit gebracht. Ich habe <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/> für das Anfertigen unzähliger Marionetten zu danken, den Professoren der Magieakademie für ihre geduldige Anleitung und vor allem Euch für Euren Rat und festen Glauben an mich, Frau Ameliance! "
142,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_011","Es gibt da etwas, das Ihr wissen solltet<Indent/>... Ich habe mich entschieden, mich nach meiner Rückkehr der Alchemie zu widmen."
143,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_012","Durch das Studium der Magie sind mir die jeweiligen Vor- und Nachteile der beiden Disziplinen bewusst geworden."
144,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_013","Als ich diese zum ersten Mal realisiert hatte, kam mir ein Gedanke in den Sinn<Indent/>- was, wenn ich <Emphasis>beide</Emphasis> Disziplinen meistern würde? Ich könnte die Schwächen der einen mit den Stärke der anderen ausgleichen und so noch mehr Leuten helfen!"
145,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_014","Nun, was ich damit zu sagen versuche<Indent/>... Sobald ich meine Ausbildung in der Alchemie abgeschlossen habe, <Emphasis>werde</Emphasis> ich an diese Küsten zurückkehren! Das verspreche ich Euch, Frau Ameliance!"
146,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_015","Wenn dieser Tag gekommen ist, dürfte ich Euch wohl wiedersehen?"
147,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_016","Ach, Mila! Da brauchst du doch nicht fragen! Ich verspreche es dir<Indent/>- also lass mich nicht zu lange warten, ja?"
148,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_017","Ah, eine Sache gäbe es da noch. Alle Mitarbeiter dieses Haushalts haben sich zusammengetan, um ein Abschieds<SoftHyphen/>geschenk für dich vorzubereiten<Indent/>- ich hoffe, es gefällt dir."
149,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_018","Ach du meine Güte, diese Kleider<Indent/>... Sie sind so hübsch, dass mir die Tränen kommen! Aber das muss ich vermeiden, sonst ruiniere ich sie noch. Ich danke allen von Herzen!"
150,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_019","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, wie ist deine Meinung als <If(PlayerParameter(4))>Meisterhandwerkerin<Else/>Meisterhandwerker</If>? Stehen sie mir?"
151,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_020","Ich bin begeistert<Indent/>- und ein wenig erleichtert<Indent/>-, dass sie dir gefallen. Während des Entwurfs und der Anfertigung hegten wir die Hoffnung in unseren Herzen, dass dir eine strahlende Zukunft bevorsteht."
152,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_021","Ich werde sie immer zu schätzen wissen. Nicht nur diese reizenden Kleider, sondern auch meine Erfahrungen hier und alle, die ich getroffen habe."
153,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MERYLD_004_022","Fräulein Miladeen, ich fürchte, Euer Schiff wird in Kürze ablegen. Wir sollten uns lieber auf den Weg machen."
154,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_023","Oh ... Ich wusste, dass dieser Moment kommen würde, aber ich bin nicht bereit, um die Worte auszusprechen. Und dann habe ich auch noch so eine reizendes und aufmerksames Geschenk erhalten<Indent/>... <schnüff>"
155,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_024","Ihr, ich ... Ich liebe euch alle so sehr! Tausend Dank für alles, was ihr für mich getan habt!"
156,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_025","Wir lieben dich auch, Mila. Gute Reise, und sei dir gewiss, dass wir stets an dich denken werden. Möge dein Lebensweg voller lachender Gesichter sein<Indent/>- ein Geschenk, dass du auch uns gemacht hast."
157,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_004_026","Ich werde mein Bestes geben! Auf Wieder<SoftHyphen/>sehen!"
158,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_001_100","Es muss noch andere ausländische Studenten geben, die sich genau wie Mila zum ersten Mal an dem Umgang mit der Magie versuchen."
159,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_001_101","Und daher habe ich einen Vorschlag für dich: Ich würde gerne magische Gegenstände beschaffen, die für das Wirken von Magie unerlässlich sind. Je besser deren Qualität ist, desto schneller werden die Studenten die Grundlagen verinnerlichen können. Was meinst du?"
160,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_001_102","Ich wusste, ich würde auf dich zählen können! Ich danke dir wie immer, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>."
161,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_100","<seufz> Wenn es mir doch nur früher aufgefallen wäre, hätte sie nicht so leiden müssen. Selbst unter den besten Umständen ist es nicht ungewöhnlich, den Geschmack der Heimat zu vermissen<Indent/>- aber wenn man es dann auch noch mit der Sharlayaner Küche aufnehmen muss<Indent/>..."
162,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_101","Bei dem Gedanken daran, wie viele andere Studenten womöglich genauso stillschweigend darunter leiden wie Mila, bricht mir das Herz. Ich werde die anderen Gastfamilien vor<SoftHyphen/>sichts<SoftHyphen/>halber darauf hinweisen, besser auf die Ernährung zu achten."
163,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_002_102","In diesem Zusammenhang hätte ich eine Bitte an dich. Leidenschaftliche Studenten wie Mila sind oft von der ersten Unterrichtsstunde am Morgen bis weit nach der letzten Glocke in ihre Studien vertieft. Falls du also ein wenig Zeit entbehren könntest, würde ich mich freuen, wenn du ein paar mit Äther versetzte Brotdosen herstellen könntest, um Essen für lange Zeit frisch zu halten."
164,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_100","Es wird nie einfacher, sie ihres Weges ziehen zu lassen. Egal, wie oft man es auch erlebt."
165,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_101","Doch mit derlei Dingen sollte ich dich nicht belasten<Indent/>- besonders dann nicht, wenn ich gute Neuigkeiten habe! Zahlreiche Gastfamilien haben mich darüber informiert, dass die Studenten in ihrer Obhut ihren Aufenthalt in Sharlayan genossen haben und sicher nach Hause zurückgekehrt sind. Und das haben wir alles dir zu verdanken, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>."
166,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_102","Unser Erfolg hier hat mich dazu inspiriert, meine unterstützenden Aktivitäten über die Grenzen von Sharlayan hinaus auszuweiten. Es muss einfach noch mehr geben, was ich unternehmen kann, um noch mehr Kindern die Gelegenheit zum Lernen zu geben."
167,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_103","Das soll jedoch nicht bedeuten, dass ich keine weiteren Studenten mehr bei mir aufnehmen werde<Indent/>- ganz im Gegenteil!"
168,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_104","Stell dir nur mal die Gesichter von Fourchenault und den Zwillingen vor, wenn sie nach Hause kommen und einen völlig Fremden hier vorfinden. Ja, ich denke, ich werde dieses Programm noch eine Weile geheim halten."
169,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_105","Ah, und ehe ich es vergesse: Ich habe da eine Kleinigkeit für dich<Indent/>- erinnerst du dich an die Kleider, die wir für Mila angefertigt haben? Wir sind gerade dabei, auch welche für dich anzufertigen."
170,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_106","Da sie nach Hause zurückkehren musste, haben wir uns zuerst ihren gewidmet, doch deine sind fast fertig. Ich hoffe, es macht dir nichts aus, noch ein wenig zu warten."
171,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_004_107","Und da du schon mal hier bist, wäre da noch etwas<Indent/>- eine Angelegenheit, die unter uns bleiben sollte. Falls du auf deinen Reisen auf Kleidungsstücke treffen solltest, die mir stehen könnten, bring sie mir doch bitte mit. Besonders dann, wenn sie Fourchenault erröten lassen könnten!"
172,"TEXT_CTSSFSCHARACTER8_00773_RANKUPINFO_000_000","Dein Zufrieden<SoftHyphen/>heits<SoftHyphen/>rang bei Ameliance ist gestiegen! Sie hält dich für <If(PlayerParameter(4))>eine Partnerin<Else/>einen Partner</If> der Leveilleurs."
173,"TEXT_CTSSFSCHARACTER8_00773_RANKUPINFO_000_001","Dein Zufrieden<SoftHyphen/>heits<SoftHyphen/>rang bei Ameliance ist gestiegen! Sie hält dich für <If(PlayerParameter(4))>eine Gönnerin<Else/>einen Gönner</If> der Leveilleurs."
174,"TEXT_CTSSFSCHARACTER8_00773_RANKUPINFO_000_002","Dein Zufrieden<SoftHyphen/>heits<SoftHyphen/>rang bei Ameliance ist gestiegen! Sie hält dich für <If(PlayerParameter(4))>eine Vorkämpferin<Else/>einen Vorkämpfer</If> der Leveilleurs."
175,"TEXT_CTSSFSCHARACTER8_00773_RANKUPINFO_000_003","Dein Zufrieden<SoftHyphen/>heits<SoftHyphen/>rang bei Ameliance ist gestiegen! Sie hält dich für ein Familienmitglied der Leveilleurs."
176,"TEXT_CTSSFSCHARACTER8_00773_RANKUPINFO_001_001","Und doch gibt es noch viel Arbeit zu erledigen, wenn sie sicherstellen will, dass die ausländischen Studenten sich in Alt-Sharlayan wie zu Hause fühlen. Zu diesem Zweck hat Ameliance eine weitere Bitte an dich<Indent/>..."
177,"TEXT_CTSSFSCHARACTER8_00773_RANKUPINFO_001_002","Dank deiner Bemühungen ist das Studienprogramm in Alt-Sharlayan zu einem großen Erfolg geworden. Es scheint jedoch, als hätte Ameliance eine etwa andere Art von Bitte an dich<Indent/>..."
178,"TEXT_CTSSFSCHARACTER8_00773_AFTRANKUP_000_001","Die Wunschliste wurde aktualisiert. Sprich mit Ameliance und wähle „Gewünschte Sammlerstücke bei Ameliance abliefern“, um die Liste einzusehen."
179,"TEXT_CTSSFSCHARACTER8_00773_AFTRANKUP_001_001","Du kannst bei Ameliance einen neuen Auftrag zu den Wunschlieferungen annehmen. Erst wenn du diesen Auftrag abgeschlossen hast, wird die Wunschliste aktualisiert."
180,"TEXT_CTSSFSCHARACTER8_00773_AFTRANKUP_002_001","Von nun an werden die gewünschten Gegenstände einmal pro Woche zufällig aus den bisherigen Sammlerstücken ausgewählt."
181,"TEXT_CTSSFSCHARACTER8_00773_AFTRANKUP_002_002","Sprich mit Ameliance und wähle „Gewünschte Sammlerstücke bei Ameliance abliefern“, um die Liste einzusehen."
182,"TEXT_CTSSFSCHARACTER8_00773_AFTRANKUP_002_003","Besonders große Belohnungen winken bei Schulmaterialien, Materialien zur Schulversorgung und Korallenfragmenten. Falls sie auf der Wunschliste stehen, solltest du dich also auf diese Lieferungen konzentrieren."
183,"TEXT_CTSSFSCHARACTER8_00773_AFTRANKUP_002_004","Außerdem kannst du ab jetzt Ameliances Aussehen durch Projektionen verändern."
184,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_001_000","Vielen Dank, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Nicht nur für die Beschaffung der Vorräte, sondern auch dafür, dass du an meine Vision glaubst."
185,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_001_001","Es ist eigenartig, findest du nicht auch? Dass du, <If(PlayerParameter(4))>eine enge Freundin<Else/>ein enger Freund</If> der Zwillinge, und ich, ihre Mutter, solch gute Bekannte werden würden. Doch ich hätte mir <If(PlayerParameter(4))>keine bessere Partnerin<Else/>keinen besseren Partner</If> wünschen können."
186,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_002_000","Vielen Dank für deine unglaublichen Lieferungen diese Woche, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! Du solltest wissen, dass deine Bemühungen sehr viel Anerkennung finden."
187,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_002_001","Wenn Fourchenault jetzt durch diese Tür treten und sehen würde, dass wir Freunde geworden sind, würde er sich sicherlich erst mal hinsetzen müssen, um diese Offenbarung zu verarbeiten<Indent/>... Ich muss zugeben, das würde ich nur zu gerne sehen!"
188,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_003_000","Deine Großzügigkeit kennt keine Grenzen, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! Ich kann dir gar nicht genug danken."
189,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_003_001","Ich will dich ja nicht in Verlegenheit bringen, aber jedes Mal, wenn du uns besuchst, sind die Bediensteten des Hauses ganz aufgeregt<Indent/>- deine bloße Anwesenheit ist eine Inspiration für sie!"
190,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_003_002","Als ich in die Familie Leveilleur eingeheiratet habe, brachten die Bediensteten mir geduldig all die Etikette und Manieren bei, die von einer Dame des Hauses erwartet werden. Und als die Zwillinge zur Welt kamen, haben sie keine Mühen gescheut, um mir mit ihnen zu helfen. Ich bin jeden Tag aufs Neue äußerst dankbar für ihre Unterstützung."
191,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_004_000","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, hättest du wohl einen Moment Zeit?"
192,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_004_001","Ich habe einen Brief von Alphinaud erhalten und bin mir nicht sicher, ob ich ihm gegenüber in meiner Antwort erwähnen sollte, dass wir beide nun zu<SoftHyphen/>sammen<SoftHyphen/>arbeiten."
193,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_004_002","Ich wollte es geheim halten und ihn bei seinem nächsten Besuch damit überraschen, aber<Indent/>... ich glaube nicht, dass Alisaie solch eine plötzliche Offenbarung gefallen würde. Was denkst du?"
194,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_005_000","Es ist schön, dich zu sehen, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>."
195,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_005_001","Kann ich dir etwas gestehen? Als ich dieses Unterfangen begonnen habe, war ich voller Zweifel<Indent/>... doch dann kamst du und hast deine Hilfe angeboten. Von dem Moment an waren all meine Bedenken verflogen."
196,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_005_002","Ich verstehe nun, wie Alphinaud und Alisaie sich all die Jahre in deiner Anwesenheit gefühlt hat. Mit dir an meiner Seite habe ich das Gefühl, alles erreichen zu können<Indent/>- also geh nicht zu weit weg, ja?"
197,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_006_000","Verzeihung, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, aber hättest du wohl einen Moment zeit? Keine Sorge, es ist nicht Ernstes. Ich<Indent/>... will mich nur bei dir bedanken. Für alles."
198,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_006_001","Ich bin dir von ganzem Herzen dankbar, dass ich diese Gelegenheit hatte, nicht nur mit dir als <If(PlayerParameter(4))>Partnerin<Else/>Partner</If> zu arbeiten, sondern dich auch als Person und <If(PlayerParameter(4))>Freundin<Else/>Freund</If> kennenzulernen. Doch vor allem möchte ich dir dafür danken, was du für Alphinaud, Alisaie und Fourchenault getan hast."
199,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_006_002","Du hast meine Liebsten durch dick und dünn beschützt und mir so den Glauben gegeben, dass sie stets nach Hause kommen würden<Indent/>- ganz gleich, wie gefährlich die Mission auch ist."
200,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_006_003","Und jetzt bedeutest auch du mir sehr viel. Ich weiß, dass ich dich nicht von waghalsigen Unternehmungen abhalten kann. Ddu wirst tun, was immer nötig ist, um jene in Not zu beschützen<Indent/>- egal, wie groß die Risiken sind. Doch wenn ich dich um eine Sache bitten dürfte, dann komm doch nach einem deiner großartigen Abenteuer mal wieder vorbei<Indent/>- nur, damit ich weiß, dass es dir gut geht."
201,"TEXT_CTSSFSCHARACTER8_00773_RANKUP_AMELIANCE_006_004","Ah, ich plappere schon wieder viel zu viel. Du solltest besser fliehen, bevor ich dir noch ein Ohr abkaue. Vergiss einfach nicht, dass du hier stets willkommen bist."
202,"TEXT_CTSSFSCHARACTER8_00773_AFTWEEKLY_000_000","Du hast diese Woche bereits deine Grenze an Sammlerstücklieferungen bei Ameliance erreicht.
Ab <ResetTime>1203</ResetTime><Switch(TopLevelParameter(220))><Case(1)>Sonntag</Case><Case(2)>Montag</Case><Case(3)>Dienstag</Case><Case(4)>Mittwoch</Case><Case(5)>Donnerstag</Case><Case(6)>Freitag</Case><Case(7)>Samstag</Case></Switch> um <If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>:00 Uhr (Erdenzeit) kannst du ihm wieder Sammlerstücke liefern."
203,"TEXT_CTSSFSCHARACTER8_00773_AMELIANCE_000_000","Ich fühle mich bereits viel zuversichtlicher, da du bei mir bist. Gib mir einfach Bescheid, wenn du bereit ist."
204,"TEXT_CTSSFSCHARACTER8_00773_QUEST_SYSTEM_000_002","Als Sammler oder Handwerker kannst du bei Ameliance einen neuen Auftrag zu den Wunschlieferungen annehmen."
